item_identificador,loja_identificador,vendas_totais,item_peso,item_conteudo_gordura,item_visibilidade,item_tipo,item_preco,loja_ano_estabelecimento,loja_tamanho,loja_tipo_localizacao,loja_tipo
FDB08,OUT018,176503.58,6.055,Baixo Teor de Gordura,0.031230059,Frutas e Vegetais,160.36,2019,Médio,Nível 3,Supermercado Tipo 2
DRQ35,OUT049,185758.2,9.3,Baixo Teor de Gordura,0.042357203,Bebidas Alcoólicas,123.24,2009,Médio,Nível 1,Supermercado Tipo 1
FDD14,OUT018,165983.94,20.7,Baixo Teor de Gordura,0.170500183,Enlatados,184.13,2019,Médio,Nível 3,Supermercado Tipo 2
FDY37,OUT045,314923.4,17.0,Regular,0.026622757,Enlatados,144.25,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDY59,OUT018,64782.34,8.195,Baixo Teor de Gordura,0.0,Confeitaria,93.15,2019,Médio,Nível 3,Supermercado Tipo 2
FDT04,OUT017,31425.76,17.25,Baixo Teor de Gordura,0.10764721000000001,Alimentos Congelados,39.38,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDI20,OUT010,42211.72,19.1,Baixo Teor de Gordura,0.064547828,Frutas e Vegetais,212.86,2008,Desconhecido,Nível 3,Mercado
FDH17,OUT019,29361.78,12.857645184135977,Regular,0.029157849000000003,Alimentos Congelados,97.07,1995,Pequeno,Nível 1,Mercado
FDP12,OUT046,70574.8,9.8,Regular,0.045266806,Confeitaria,36.99,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDV60,OUT013,353539.8,20.2,Regular,0.0,Confeitaria,197.21,1997,Grande,Nível 3,Supermercado Tipo 1
FDG08,OUT017,240486.96,13.15,Regular,0.0,Frutas e Vegetais,171.98,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDY11,OUT049,151602.66,6.71,Regular,0.02960641,Confeitaria,65.41,2009,Médio,Nível 1,Supermercado Tipo 1
FDK43,OUT045,240353.8,9.8,Baixo Teor de Gordura,0.026895199999999998,Açougue,128.4,2012,Desconhecido,Nível 2,Supermercado Tipo 1
NCE54,OUT019,15047.08,12.857645184135977,Baixo Teor de Gordura,0.047098175000000006,Cereais,75.54,1995,Pequeno,Nível 1,Mercado
FDP60,OUT045,161922.56,17.35,Baixo Teor de Gordura,0.056032247,Confeitaria,102.3,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDU12,OUT035,448216.5600000001,15.5,Regular,0.07573674600000001,Confeitaria,265.56,2014,Pequeno,Nível 2,Supermercado Tipo 1
NCI17,OUT027,251006.6,12.857645184135977,Baixo Teor de Gordura,0.14272811300000002,Mercearia,95.14,1995,Médio,Nível 3,Supermercado Tipo 3
NCP54,OUT049,283297.9,15.35,Baixo Teor de Gordura,0.035204319000000005,Cereais,122.87,2009,Médio,Nível 1,Supermercado Tipo 1
DRI01,OUT027,500082.38,12.857645184135977,Baixo Teor de Gordura,0.034286109,Bebidas Não Alcoólicas,173.14,1995,Médio,Nível 3,Supermercado Tipo 3
FDD52,OUT035,120842.7,18.25,Regular,0.183260221,Laticínios,108.56,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDH08,OUT019,45940.2,12.857645184135977,Baixo Teor de Gordura,0.030516069000000003,Frutas e Vegetais,227.8,1995,Pequeno,Nível 1,Mercado
FDU21,OUT017,57724.86,11.8,Regular,0.077154417,Lanches,35.76,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDZ52,OUT035,122307.46,19.2,Baixo Teor de Gordura,0.10005560100000001,Alimentos Congelados,112.49,2014,Pequeno,Nível 2,Supermercado Tipo 1
DRF03,OUT045,69043.46,19.1,Baixo Teor de Gordura,0.045400017,Laticínios,38.81,2012,Desconhecido,Nível 2,Supermercado Tipo 1
NCL17,OUT017,242218.04,7.39,Baixo Teor de Gordura,0.068163102,Mercearia,140.48,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDV57,OUT017,647157.6,15.25,Regular,0.066269294,Lanches,179.67,2017,Desconhecido,Nível 2,Supermercado Tipo 1
NCD31,OUT049,361795.72,12.1,Baixo Teor de Gordura,0.01545846,Cereais,166.05,2009,Médio,Nível 1,Supermercado Tipo 1
NCM19,OUT013,348812.62,12.65,Baixo Teor de Gordura,0.047197936,Outros,114.12,1997,Grande,Nível 3,Supermercado Tipo 1
FDC60,OUT017,141682.24,5.425,Regular,0.11511990500000001,Confeitaria,88.35,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDB59,OUT027,416657.64,12.857645184135977,Baixo Teor de Gordura,0.01520491,Lanches,197.21,1995,Médio,Nível 3,Supermercado Tipo 3
FDB32,OUT019,18775.56,12.857645184135977,Baixo Teor de Gordura,0.041063069,Frutas e Vegetais,93.58,1995,Pequeno,Nível 1,Mercado
NCZ30,OUT049,253070.58,6.59,Baixo Teor de Gordura,0.026225693,Cereais,119.01,2009,Médio,Nível 1,Supermercado Tipo 1
FDW03,OUT035,209061.2,5.63,Regular,0.024536636,Açougue,106.13,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDN21,OUT013,370584.28,18.6,Baixo Teor de Gordura,0.076791671,Lanches,161.02,1997,Grande,Nível 3,Supermercado Tipo 1
FDF14,OUT035,260327.8,7.55,Baixo Teor de Gordura,0.027164679,Enlatados,152.33,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDM58,OUT049,257265.12,16.85,Regular,0.0,Lanches,110.05,2009,Médio,Nível 1,Supermercado Tipo 1
NCN26,OUT035,386696.64,10.85,Baixo Teor de Gordura,0.028674471000000003,Cereais,115.18,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDO21,OUT018,112520.2,11.6,Regular,0.009802791,Lanches,223.04,2019,Médio,Nível 3,Supermercado Tipo 2
FDV10,OUT019,4261.12,12.857645184135977,Regular,0.11679368400000001,Lanches,41.01,1995,Pequeno,Nível 1,Mercado
NCS29,OUT019,26498.84,12.857645184135977,Baixo Teor de Gordura,0.121765124,Mercearia,264.19,1995,Pequeno,Nível 1,Mercado
NCD43,OUT045,136755.32,8.85,Baixo Teor de Gordura,0.016052446,Cereais,106.8,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDU50,OUT027,343552.8,12.857645184135977,Regular,0.074806196,Laticínios,112.92,1995,Médio,Nível 3,Supermercado Tipo 3
FDZ22,OUT045,66580.0,9.395,Baixo Teor de Gordura,0.045361705,Lanches,83.82,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDH26,OUT027,239954.32,12.857645184135977,Regular,0.034531702000000004,Enlatados,142.25,1995,Médio,Nível 3,Supermercado Tipo 3
